"computation time (s)","series size n","series_type","visibility","Method"
1.07866,1000.00000,"random","hvg","basic"
0.04687,1000.00000,"random","hvg","dc"
0.02145,1000.00000,"random","hvg","bt"
2.04447,1000.00000,"random","nvg","basic"
0.05071,1000.00000,"random","nvg","dc"
0.20638,1000.00000,"random","nvg","bt"
1.13197,1000.00000,"random","hvg","basic"
0.04253,1000.00000,"random","hvg","dc"
0.02085,1000.00000,"random","hvg","bt"
2.04305,1000.00000,"random","nvg","basic"
0.06056,1000.00000,"random","nvg","dc"
0.22574,1000.00000,"random","nvg","bt"
1.12761,1000.00000,"random","hvg","basic"
0.04357,1000.00000,"random","hvg","dc"
0.02113,1000.00000,"random","hvg","bt"
2.03620,1000.00000,"random","nvg","basic"
0.06723,1000.00000,"random","nvg","dc"
0.25705,1000.00000,"random","nvg","bt"
1.11600,1000.00000,"random","hvg","basic"
0.04815,1000.00000,"random","hvg","dc"
0.02238,1000.00000,"random","hvg","bt"
2.06143,1000.00000,"random","nvg","basic"
0.05042,1000.00000,"random","nvg","dc"
0.21526,1000.00000,"random","nvg","bt"
1.10489,1000.00000,"random","hvg","basic"
0.04347,1000.00000,"random","hvg","dc"
0.02235,1000.00000,"random","hvg","bt"
2.03076,1000.00000,"random","nvg","basic"
0.05867,1000.00000,"random","nvg","dc"
0.22261,1000.00000,"random","nvg","bt"
1.12994,1000.00000,"random","hvg","basic"
0.04114,1000.00000,"random","hvg","dc"
0.02062,1000.00000,"random","hvg","bt"
2.00457,1000.00000,"random","nvg","basic"
0.04634,1000.00000,"random","nvg","dc"
0.19853,1000.00000,"random","nvg","bt"
1.15360,1000.00000,"random","hvg","basic"
0.04194,1000.00000,"random","hvg","dc"
0.02020,1000.00000,"random","hvg","bt"
2.01050,1000.00000,"random","nvg","basic"
0.06305,1000.00000,"random","nvg","dc"
0.22439,1000.00000,"random","nvg","bt"
1.11650,1000.00000,"random","hvg","basic"
0.04332,1000.00000,"random","hvg","dc"
0.02303,1000.00000,"random","hvg","bt"
4.23953,1000.00000,"conway","nvg","basic"
0.34237,1000.00000,"conway","nvg","dc"
1.44403,1000.00000,"conway","nvg","bt"
0.75249,1000.00000,"conway","hvg","basic"
0.14649,1000.00000,"conway","hvg","dc"
0.07587,1000.00000,"conway","hvg","bt"
354.03147,5000.00000,"walk","nvg","basic"
84.65518,5000.00000,"walk","nvg","dc"
125.05219,5000.00000,"walk","nvg","bt"
109.55819,5000.00000,"walk","hvg","basic"
7.42961,5000.00000,"walk","hvg","dc"
0.79438,5000.00000,"walk","hvg","bt"
296.02981,5000.00000,"walk","nvg","basic"
